"序号","图像存储名称","画作名称","作者姓名","作者出生年份","作者出生地","作者流派","创作年代","创作朝代","实际尺寸","收藏机构","分类","题材","画作流派","风格","色彩","构图","意境","笔法","墨法","绘画材料","颜料","印章","文化符号","文本生成","音乐情境生成","收集平台"
"28","1（28）","松寿图","万上遴","1739","江西分宜","清代文人画派","1739-1813","清代","201×130cm","","花鸟画"," 松树、花","清代文人画派","写意，笔墨凝炼，风格超秀无作家气","墨色","垂直构图，画面简洁，意境深远","清逸、高远，体现文人隐逸精神","笔墨流畅，注重书法笔意","淡墨晕染，浓墨勾勒","纸本","植物颜料","","钤印：上遂之印鉴藏印：石卿鉴藏、潘祖口鉴金石文字之印","这幅画作以其细腻的构图和巧妙的色彩搭配而引人注目。画中的元素和谐地排列，在视觉上创造出稳定而合理的布局。采用的色调柔和而丰富，主要以淡雅的蓝色与温暖的粉红色花瓣形成对比，营造出一种自然且平衡的效果。线条的质量亦令人称道，遒劲有力而不失细腻，表现出树木的质感和生命力。通过对肌理的巧妙运用，画面中的树皮和花朵显得栩栩如生。象征意义上，画中的树木与鲜花可能隐喻着长寿与繁荣，图像传达出了自然的生生不息与生命的美好。","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现鲜花盛开、树木参天的宁静自然景象。","雅昌"
"29","1（29）","花鸟","潘思牧","1756","江苏镇江","丹徒派 (京江画派）","1816","清代","33×282cm","","花鸟画","","丹徒派 (京江画派)","写意，笔墨凝炼，风格清劲秀丽","墨色，有淡彩设色","垂直构图","清逸、高远，体现文人隐逸精神","笔墨流畅，注重书法笔意","淡墨晕染，浓墨勾勒","纸本","植物颜料","","钤印：潘思牧印 (白）、潘氏樵侣(白)
收藏印：公鲁审定(朱）、河阳后人(白）、刘五墨缘(朱）、子泗嗣守(朱)","这幅画作通过巧妙的构图构建出自然和谐的视觉效果，花卉和鸟禽的位置分布均衡，营造出一种动态的平衡。色彩搭配上，画作运用了柔和的色调，粉色、淡绿和灰蓝之间的协调增强了整体的优雅感，且不失活力。线条质量细腻流畅，从中可见精湛的技艺，线条的变化强调了物体的立体感和细节。动态与姿态灵动自然，小鸟的动作与花枝形成了生动的视觉叙事。肌理的表现使花瓣和羽毛显得细腻逼真，增添了画面的层次感。","本乐曲的意境是宁静致远、充满诗意的，运用古琴、笛子等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现鸟语花香、园林静谧的景象。","雅昌"
"30","1（30）","梅雀图","马元驭","1669","江苏常熟","常州画派","1702","清代","151×76cm","","花鸟画","梅花、雀鸟","常州画派","写意，笔墨清新，风格秀丽淡雅","墨色、淡彩","横向构图","清逸、高远，体现自然生机","笔墨流畅，注重写生","淡墨晕染，浓墨勾勒","纸本或绢本","植物颜料","","钤印：马元驭印 (白)
收藏印：赵叔孺氏珍藏之记 (朱)","这幅画作在构图上展现出一种自然的平衡，通过斜向安置的枝干和飞扬的鸟雀引导观者的视线流动。线条质量细腻柔和，既有树木的粗犷苍劲，又有雀鸟的轻盈灵动，勾勒出各元素的质感。色彩搭配则以传统的花鸟画风格为主，青绿与粉红的对比实现了和谐的视觉平衡。动态与姿态表现出鸟雀的灵动之姿，与梅枝的静谧形成对比，增强了画面的生命力。此外，画中生动的梅花和飞鸟象征着春天的活力与生机，富于诗意与内涵。","本乐曲的意境是宁静致远、充满诗意的，用古琴、箫等乐器演奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现园林中花竹盛开、百鸟栖息、绿树成荫的宁静景象。","雅昌"
"31","1（31）","扫叶翁画石帖","笪重光","1623","江苏镇江","清代文人画派","1644-1722","清代","29×20cm×10","","花鸟画","","清代文人画派","写意，笔墨清新，风格高逸","墨色","垂直或横向构图","清逸、高远，体现自然与隐逸精神","笔墨流畅，注重写意","淡墨晕染，浓墨勾勒”","纸本","植物颜料","","","这幅画作运用饱满而柔韧的线条，精确传达出石头的坚硬质感和自然弯曲。构图上，画面通过精妙的布局，强调石头的中心位置，使观者的目光自然聚焦于此。肌理的表现极其丰富而细腻，刻画出石头表面的粗糙和细节，为平面提供了深邃的层次感。尺度与比例上，画中石头的呈现极具真实感，使其在纸面上仿佛拥有了实体的体积和重量。动态与姿态则通过巧妙的角度和线条变幻，成功呈现出石头在自然侵蚀下的独特形态，仿佛在静止中蕴含着流动的生命力。","这首乐曲的意境是冥想和神秘的，应该是用古琴和箫等乐器，采用道教冥想的音乐风格，节奏缓慢而流畅，表现出一种宁静而又神秘的奇岩怪石的景象，可能体现出大自然的深沉宁静和隐秘境界。","雅昌"
"32","1（32）","宣城四妙","梅清 梅庚 梅翀 蔡瑶","梅清：1623年 梅庚：1640年 ","安徽宣城","宣城画派","17世纪中叶至18世纪初","明末清初","18.2x14.5cmx8","安徽博物院（部分作品）","花鸟画","","宣城画派","写意、兼工带写，笔墨清新，风格高逸","墨色、淡彩","垂直构图","清逸、高远，体现自然与隐逸精神”","笔墨流畅，注重写意","淡墨晕染，浓墨勾勒","纸本","植物颜料","","钤印：梅，雪坪、阿庚（二次），培翼，蔡瑶，朱克印、瞻（1印参见《中国书画家印鉴款识·梅清》3印，866页；2、3印参见同书《梅庚》11、2印，864页；4印参见同书《梅驷》2印，865页)","0","本曲意境宁静诗意，带有淡淡的宁静与内省，以古琴、箫、筝为伴奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现山川宁静深邃的景象，细腻地刻画自然之美与静谧之寂。音乐应唤起云雾缭绕的群山的宁静、盛开的花朵的精致之美以及静水中的孤舟的平静。古琴和古筝将提供精致的旋律基础，补充视觉的宁静，而箫将增添一种令人难以忘怀的空灵品质，以反映雾蒙蒙的氛围并增强场景的诗意。这将创造一种和谐的融合，准确反映出这幅画的宁静和永恒的品质。","雅昌"
"33","1（33）","松间流瀑","柳亚子","1886","江苏吴江","","1941","","95×58.5cm","","花鸟画","","","","","","","","","","","","钤印：柳亚子印","这幅画作呈现了精妙的构图与表现形式，中央部位的古松以粗壮的线条描绘，展现出其年轮的沧桑与力量。画中线条质量丰富，通过昭示的线条变化，树干与岩石的纹理得以栩栩如生地展现。明暗对比的巧妙运用则增强了画面的层次感，使得瀑布的飞扬水势在墨色浓淡之间跃然而出。动态与姿态的处理使得画面充满了生命力，尤其是松枝的延展，仿佛在风中轻舞。透视技巧的运用使得远近景物间的空间关系更加和谐，有效引导观者的视线穿梭整个画面。","这首乐曲的意境是宁静而富有诗意的，用古琴、箫等乐器演奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现宁静的山川景色。","雅昌"
"34","1（34）","红叶鹦鹉","凌必正","1600左右","江苏太仓","明代文人画派","1628-1644","明代","101×51cm","","花鸟画","红叶、鹦鹉","明代文人画派","工笔，设色妍雅，位置精密","设色纸本，色彩鲜艳","垂直构图，画面简洁","清逸、高雅，体现文人画的精致感","笔触细腻，注重细节刻画","淡墨晕染，浓墨勾勒","纸本","植物颜料、矿物颜料","","钤印：凌必正印、字圣功","这幅作品的构图展现了一种简洁却充满韵律的布局，通过鹦鹉和枝叶的精妙排列，使观者的视线顺畅地自上而下流动。色彩搭配上，画中主要使用了柔和的灰蓝与亮丽的红色对比，凸显了鸟儿的生命力与自然的宁静和谐。线条质量极为细腻流畅，特别是在表现鹦鹉羽毛时，赋予生动的质感与细节。动态与姿态方面，鹦鹉自然而优雅的站立方式，营造出一种静中有动的视觉感受。形状上，枝叶与鸟的形态相辅相成，形成自然生动的整体结构，达到视觉上的均衡与美感。","本乐曲意境宁静，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现一只白鹦鹉栖息在花枝上的宁静景象。","雅昌"
"35","1（35）","竹禽图","林良","1428","广东南海","明代院体花鸟画派","1450-1487","明代","150×83.2cm×2","上海博物馆","花鸟画","竹、禽鸟","明代院体花鸟画派","写意，笔法简练而准确，墨色灵活","淡墨","垂直构图","自然天趣，雄健壮阔","放纵简括，遒劲飞动","淡墨晕染，浓墨勾勒","绢本","植物颜料","","钤印：以善图书","这幅画的线条质量极为细腻，呈现出一种柔和与刚劲交织的美感。线条流畅且富有变化，不仅勾勒出竹叶的轻盈，还细致地描绘了禽鸟的生动形态。构图上，画面均衡而不对称，左侧的竹林和右侧的禽鸟相互呼应，形成自然和谐的对话。动态与姿态方面，每只禽鸟的动作富有生命力，姿态刻画精准，仿佛能感受到其在自然中的自在活动。而肌理则通过精细的笔触与浓淡相宜的墨色变化，赋予画面丰富的层次感与触感，增强了视觉上的真实感。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现江边芦苇摇曳、鸭子在水边休息的宁静景象。","雅昌"
"36","1（36）","春燕图","周之冕","1521","江苏苏州","吴门画派","1601","明代","27.5×273.5cm","南京博物院","花鸟画","桃花、柳树、春燕","吴门画派","兼工带写，勾花点叶法","设色鲜雅","横向构图","生动传神，富有自然生机","勾勒法画花，水墨点染叶子","淡墨晕染，浓墨勾勒","绢本","植物颜料","周之冕印、字服卿","钤印：服卿氏、周之冕印
跋有：袁尊尼（1523-1574）、胡汝嘉：明．嘉靖三十二年（1553）进士、邢一凤：明．嘉靖三十二年（1541）进士，跋并铃印。","此画以流畅且富有生气的构图展现了春天的勃勃生机。画中的线条质量上乘，轻盈而富有韵律，尤其在柳枝和燕子的表现上，线条的运用传递了自然的柔美与灵动。燕子的动态与姿态有着流畅的起承转合，展现出一种轻盈的飞翔感，似乎在画面上空舞动，增强了画面的动感和生命力。在象征意义上，燕子和柳枝常被视作春的使者，代表着生机和新的开始。色彩搭配则侧重于淡雅温和，利用墨色与少量的红、绿点缀，使画面在保持简约的同时不失精致，传达出一种清新且充满活力的春日景象。","本乐曲意境宁静，富有诗意，以古琴、箫为伴奏乐器，采用中国传统古典风格，节奏舒缓流畅，表现大自然娇美、燕子翩翩的春天静谧景象。","雅昌"
"37","1（37）","山青水碧鸟语花香","朱耷","1626","江西南昌","明末清初画坛“四僧""之一，大写意水墨画派","1698","明末清初","29.5×21.9cm×17","","花鸟画","、山水画小鸟、芋头、石头、山水","明末清初文人画派","写意，笔墨凝炼沉毅，风格雄奇隽永，画面简洁，以""少""著称","墨色，淡彩","垂直或横向构图，画面简洁，大量留白","清逸、孤寂，体现画家的内心世界和对自然的感悟","笔触放任恣纵，苍劲圆秀，清逸横生","淡墨晕染，浓墨勾勒，墨色层次丰富","纸本","植物颜料、矿物颜料","常用“八大山人""可得神仙""等印章","一、八大山人写。(山水)钤印：八大山人
二、八大山人。(鸟石图)钤印：可得神仙
三、八大山人画。 (怪石图)钤印：可得神仙
四、八大山人写。(山水)钤印：八大山人","这组画作展示了卓越的线条质量，通过简练而富有表现力的笔墨表现，勾勒出自然景物的生动形态。作品的构图精巧，运用了多种角度和视野，营造出空间层次感，通过留白的方式引导观者的视线。象征与图像在画中寓意深刻，花鸟草木常常作为生活美好的隐喻。肌理方面，画面中的笔触变化丰富，时而厚重，时而轻盈，呈现出不同质感的对比。动态与姿态通过流畅的线条和恰到好处的点墨，赋予画中生灵以灵动与活力，仿佛自然界的生命正在画中舞动。","本乐曲意境宁静致远，富有诗意，以古琴、箫、二胡等乐器演奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现山峦云雾缭绕、花草树木、百鸟飞舞的宁静自然景象。","雅昌"
